external_learning_efficiency,platform_capture_share,equivalent_pareto_tail_index,neutrality_penalty,regime,ownership_size,incremental_private_value,capture_upgrade,productive_learning_upgrade,external_access_slope,selection_margin,platform_full_rollup_capture_threshold
0.82500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16317136,3.28319531,0.24806250,-0.01968750,0.64938492,0.29861984
0.83750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16292527,3.30066797,0.23034375,-0.01968750,0.64639078,0.29703905
0.85000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16267917,3.31814063,0.21262500,-0.01968750,0.64339664,0.29547490
0.86250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16243308,3.33561328,0.19490625,-0.01968750,0.64040250,0.29392714
0.87500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16218699,3.35308594,0.17718750,-0.01968750,0.63740836,0.29239551
0.88750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16194089,3.37055859,0.15946875,-0.01968750,0.63441422,0.29087976
0.90000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16169480,3.38803125,0.14175000,-0.01968750,0.63142008,0.28937964
0.91250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16144870,3.40550391,0.12403125,-0.01968750,0.62842594,0.28789492
0.92500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16120261,3.42297656,0.10631250,-0.01968750,0.62543180,0.28642535
0.93750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16095652,3.44044922,0.08859375,-0.01968750,0.62243766,0.28497071
0.95000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16071042,3.45792188,0.07087500,-0.01968750,0.61944352,0.28353077
0.96250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16046433,3.47539453,0.05315625,-0.01968750,0.61644938,0.28210531
0.97500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16021824,3.49286719,0.03543750,-0.01968750,0.61345524,0.28069411
0.98750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.15997214,3.51033984,0.01771875,-0.01968750,0.61046110,0.27929696
1.00000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.15972605,3.52781250,0.00000000,-0.01968750,0.60746695,0.27791365
0.00000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14941355,2.10000000,1.41750000,-0.03937500,0.84199820,0.46029449
0.01250000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14892136,2.11722656,1.39978125,-0.03937500,0.83896305,0.45654936
0.02500000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14842917,2.13445313,1.38206250,-0.03937500,0.83592789,0.45286468
0.03750000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14793699,2.15167969,1.36434375,-0.03937500,0.83289274,0.44923900
0.05000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14744480,2.16890625,1.34662500,-0.03937500,0.82985758,0.44567091
0.06250000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14695261,2.18613281,1.32890625,-0.03937500,0.82682242,0.44215906
0.07500000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14646042,2.20335938,1.31118750,-0.03937500,0.82378727,0.43870212
0.08750000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14596824,2.22058594,1.29346875,-0.03937500,0.82075211,0.43529882
0.10000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14547605,2.23781250,1.27575000,-0.03937500,0.81771695,0.43194791
0.11250000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14498386,2.25503906,1.25803125,-0.03937500,0.81468180,0.42864820
0.12500000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14449167,2.27226563,1.24031250,-0.03937500,0.81164664,0.42539852
0.13750000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14399949,2.28949219,1.22259375,-0.03937500,0.80861149,0.42219774
0.15000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14350730,2.30671875,1.20487500,-0.03937500,0.80557633,0.41904477
0.16250000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14301511,2.32394531,1.18715625,-0.03937500,0.80254117,0.41593854
0.17500000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14252292,2.34117188,1.16943750,-0.03937500,0.79950602,0.41287803
