organization_cost_scale,cross_node_learning,integration_threshold,conditional_target_size,continuous_target_size
0.02100000,0.03750000,0.48113366,5,5.23270869
0.02237500,0.03750000,0.49422128,5,5.09463632
0.02375000,0.03750000,0.50730891,5,4.96812962
0.02512500,0.03750000,0.52039653,5,4.85163058
0.02650000,0.03750000,0.53348415,5,4.74386212
0.02787500,0.03750000,0.54657177,5,4.64376590
0.02925000,0.03750000,0.55965939,5,4.55045620
0.03062500,0.03750000,0.57221346,4,4.46318518
0.03200000,0.03750000,0.58178952,4,4.38131639
0.03337500,0.03750000,0.59136557,4,4.30430418
0.03475000,0.03750000,0.60094163,4,4.23167764
0.03612500,0.03750000,0.61051768,4,4.16302791
0.03750000,0.03750000,0.62009374,4,4.09799795
0.03887500,0.03750000,0.62966980,4,4.03627442
0.04025000,0.03750000,0.63924585,4,3.97758095
0.04162500,0.03750000,0.64882191,4,3.92167274
0.04300000,0.03750000,0.65839797,4,3.86833201
0.04437500,0.03750000,0.66797402,4,3.81736428
0.04575000,0.03750000,0.67755008,4,3.76859527
0.04712500,0.03750000,0.68712613,4,3.72186823
0.04850000,0.03750000,0.69670219,4,3.67704176
0.04987500,0.03750000,0.70627825,4,3.63398790
0.05125000,0.03750000,0.71585430,4,3.59259054
0.05262500,0.03750000,0.72543036,4,3.55274400
0.05400000,0.03750000,0.73500641,4,3.51435193
0.05537500,0.03750000,0.74458247,4,3.47732618
0.05675000,0.03750000,0.75170171,3,3.44158599
0.05812500,0.03750000,0.75810307,3,3.40705716
0.05950000,0.03750000,0.76450443,3,3.37367143
0.06087500,0.03750000,0.77090580,3,3.34136582
0.06225000,0.03750000,0.77730716,3,3.31008216
0.06362500,0.03750000,0.78370852,3,3.27976660
0.06500000,0.03750000,0.79010989,3,3.25036922
0.06637500,0.03750000,0.79651125,3,3.22184366
0.06775000,0.03750000,0.80291261,3,3.19414679
0.06912500,0.03750000,0.80931398,3,3.16723844
0.07050000,0.03750000,0.81571534,3,3.14108115
0.07187500,0.03750000,0.82211670,3,3.11563990
0.07325000,0.03750000,0.82851806,3,3.09088195
0.07462500,0.03750000,0.83491943,3,3.06677663
0.07600000,0.03750000,0.84132079,3,3.04329518
0.07737500,0.03750000,0.84772215,3,3.02041060
0.07875000,0.03750000,0.85412352,3,2.99809751
0.08012500,0.03750000,0.86052488,3,2.97633202
0.08150000,0.03750000,0.86692624,3,2.95509165
0.08287500,0.03750000,0.87332761,3,2.93435519
0.08425000,0.03750000,0.87972897,3,2.91410260
0.08562500,0.03750000,0.88613033,3,2.89431497
0.08700000,0.03750000,0.89253169,3,2.87497442
0.08837500,0.03750000,0.89893306,3,2.85606401
0.08975000,0.03750000,0.90533442,3,2.83756771
0.09112500,0.03750000,0.91173578,3,2.81947031
0.09250000,0.03750000,0.91813715,3,2.80175738
0.09387500,0.03750000,0.92453851,3,2.78441521
0.09525000,0.03750000,0.93093987,3,2.76743078
0.09662500,0.03750000,0.93734124,3,2.75079171
0.09800000,0.03750000,0.94374260,3,2.73448620
0.09937500,0.03750000,0.95014396,3,2.71850303
0.10075000,0.03750000,0.95654532,3,2.70283150
0.10212500,0.03750000,0.96294669,3,2.68746139
0.10350000,0.03750000,0.96934805,3,2.67238297
0.10487500,0.03750000,0.97574941,3,2.65758693
0.10625000,0.03750000,0.98215078,3,2.64306439
0.10762500,0.03750000,0.98855214,3,2.62880685
0.10900000,0.03750000,0.99495350,3,2.61480618
0.11037500,0.03750000,1.00135487,3,2.60105459
0.11175000,0.03750000,1.00775623,3,2.58754463
0.11312500,0.03750000,1.01415759,3,2.57426917
0.11450000,0.03750000,1.02055895,3,2.56122134
0.11587500,0.03750000,1.02696032,3,2.54839460
0.11725000,0.03750000,1.03336168,3,2.53578262
0.11862500,0.03750000,1.03976304,3,2.52337936
0.12000000,0.03750000,1.04616441,3,2.51117901
0.01000000,0.05000000,0.33673916,7,7.20210493
0.01137500,0.05000000,0.35770151,7,6.81998554
0.01275000,0.05000000,0.37866386,7,6.49846034
0.01412500,0.05000000,0.39576247,6,6.22280662
0.01550000,0.05000000,0.41265577,6,5.98289637
0.01687500,0.05000000,0.42954906,6,5.77149761
0.01825000,0.05000000,0.44644236,6,5.58328658
0.01962500,0.05000000,0.46179604,5,5.41424359
0.02100000,0.05000000,0.47488366,5,5.26126771
0.02237500,0.05000000,0.48797128,5,5.12192238
0.02375000,0.05000000,0.50105891,5,4.99426231
0.02512500,0.05000000,0.51414653,5,4.87671258
0.02650000,0.05000000,0.52723415,5,4.76798232
0.02787500,0.05000000,0.54032177,5,4.66700183
0.02925000,0.05000000,0.55340939,5,4.57287594
0.03062500,0.05000000,0.56649701,5,4.48484889
0.03200000,0.05000000,0.57643237,4,4.40227750
0.03337500,0.05000000,0.58600843,4,4.32461040
0.03475000,0.05000000,0.59558449,4,4.25137178
0.03612500,0.05000000,0.60516054,4,4.18214850
0.03750000,0.05000000,0.61473660,4,4.11657988
0.03887500,0.05000000,0.62431265,4,4.05434932
0.04025000,0.05000000,0.63388871,4,3.99517766
0.04162500,0.05000000,0.64346477,4,3.93881758
0.04300000,0.05000000,0.65304082,4,3.88504910
0.04437500,0.05000000,0.66261688,4,3.83367581
0.04575000,0.05000000,0.67219293,4,3.78452165
0.04712500,0.05000000,0.68176899,4,3.73742832
0.04850000,0.05000000,0.69134505,4,3.69225302
0.04987500,0.05000000,0.70092110,4,3.64886651
0.05125000,0.05000000,0.71049716,4,3.60715154
0.05262500,0.05000000,0.72007322,4,3.56700141
0.05400000,0.05000000,0.72964927,4,3.52831881
0.05537500,0.05000000,0.73922533,4,3.49101475
0.05675000,0.05000000,0.74753504,3,3.45500768
0.05812500,0.05000000,0.75393641,3,3.42022270
0.05950000,0.05000000,0.76033777,3,3.38659087
0.06087500,0.05000000,0.76673913,3,3.35404862
0.06225000,0.05000000,0.77314049,3,3.32253723
0.06362500,0.05000000,0.77954186,3,3.29200234
0.06500000,0.05000000,0.78594322,3,3.26239356
0.06637500,0.05000000,0.79234458,3,3.23366408
0.06775000,0.05000000,0.79874595,3,3.20577039
0.06912500,0.05000000,0.80514731,3,3.17867193
0.07050000,0.05000000,0.81154867,3,3.15233089
0.07187500,0.05000000,0.81795004,3,3.12671193
0.07325000,0.05000000,0.82435140,3,3.10178200
0.07462500,0.05000000,0.83075276,3,3.07751017
0.07600000,0.05000000,0.83715412,3,3.05386740
0.07737500,0.05000000,0.84355549,3,3.03082644
0.07875000,0.05000000,0.84995685,3,3.00836169
0.08012500,0.05000000,0.85635821,3,2.98644905
0.08150000,0.05000000,0.86275958,3,2.96506582
0.08287500,0.05000000,0.86916094,3,2.94419059
0.08425000,0.05000000,0.87556230,3,2.92380317
0.08562500,0.05000000,0.88196367,3,2.90388448
0.08700000,0.05000000,0.88836503,3,2.88441646
0.08837500,0.05000000,0.89476639,3,2.86538203
0.08975000,0.05000000,0.90116775,3,2.84676501
0.09112500,0.05000000,0.90756912,3,2.82855007
0.09250000,0.05000000,0.91397048,3,2.81072264
0.09387500,0.05000000,0.92037184,3,2.79326890
0.09525000,0.05000000,0.92677321,3,2.77617572
0.09662500,0.05000000,0.93317457,3,2.75943059
0.09800000,0.05000000,0.93957593,3,2.74302164
0.09937500,0.05000000,0.94597730,3,2.72693753
0.10075000,0.05000000,0.95237866,3,2.71116746
0.10212500,0.05000000,0.95878002,3,2.69570115
0.10350000,0.05000000,0.96518138,3,2.68052877
0.10487500,0.05000000,0.97158275,3,2.66564094
