context_payment_cap,enforcement_capacity,integration_cost,regime,disclosure,monitoring,reuse,owner_payoff,provider_payoff,transfer_to_provider,period_two_route
0.00000000,0.08000000,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.09333333,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.10666667,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.12000000,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.13333333,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.14666667,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.16000000,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.17333333,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.18666667,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.20000000,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.21333333,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.22666667,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.24000000,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.25333333,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.26666667,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.28000000,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.29333333,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.30666667,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.32000000,0.05500000,secure_modular,1.00000000,0.98515625,0.00000000,1.30084170,0.07284170,0.05240830,renew
0.00000000,0.33333333,0.05500000,secure_modular,1.00000000,0.94575000,0.00000000,1.30559731,0.07759731,0.04765269,renew
0.00000000,0.34666667,0.05500000,secure_modular,1.00000000,0.90937500,0.00000000,1.30981482,0.08181482,0.04343518,renew
0.00000000,0.36000000,0.05500000,secure_modular,1.00000000,0.87569444,0.00000000,1.31357245,0.08557245,0.03967755,renew
0.00000000,0.37333333,0.05500000,secure_modular,1.00000000,0.84441964,0.00000000,1.31693472,0.08893472,0.03631528,renew
0.00000000,0.38666667,0.05500000,secure_modular,1.00000000,0.81530172,0.00000000,1.31995519,0.09195519,0.03329481,renew
0.00000000,0.40000000,0.05500000,secure_modular,1.00000000,0.78812500,0.00000000,1.32267869,0.09467869,0.03057131,renew
0.00000000,0.41333333,0.05500000,secure_modular,1.00000000,0.76270161,0.00000000,1.32514289,0.09714289,0.02810711,renew
0.00000000,0.42666667,0.05500000,secure_modular,1.00000000,0.73886719,0.00000000,1.32737970,0.09937970,0.02587030,renew
0.00000000,0.44000000,0.05500000,secure_modular,1.00000000,0.71647727,0.00000000,1.32941627,0.10141627,0.02383373,renew
0.00000000,0.45333333,0.05500000,secure_modular,1.00000000,0.69540441,0.00000000,1.33127579,0.10327579,0.02197421,renew
0.00000000,0.46666667,0.05500000,secure_modular,1.00000000,0.67553571,0.00000000,1.33297822,0.10497822,0.02027178,renew
0.00000000,0.48000000,0.05500000,secure_modular,1.00000000,0.65677083,0.00000000,1.33454075,0.10654075,0.01870925,renew
0.00000000,0.49333333,0.05500000,secure_modular,1.00000000,0.63902027,0.00000000,1.33597832,0.10797832,0.01727168,renew
